year;anger;fear;joy;sadness;positive;negative
1928;0;0;75;25;67;33
1928;16;0;29;55;26;74
1928;12;0;69;19;56;44
1928;19;5;43;33;29;71
1928;23;0;38;38;31;69
1928;0;0;80;20;80;20
1928;14;0;71;14;57;43
1928;14;0;57;29;43;57
1928;17;6;56;22;56;44
1928;12;0;50;38;50;50
